,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.9770992167941991,0.9727251221298124
2,2,0.0075,0.0025,0.0025,0.005,0.0025,0.0025,0.0,1.0,0.9750127769120686,0.9627331536806639
3,3,0.01,0.0,0.0,0.005,0.005,0.0025,0.0,1.0,1.0015489152864485,0.9841308623016018
4,4,0.0125,0.0025,0.0025,0.0075,0.005,0.0,0.0,0.0,0.9051186636805066,0.8841185315050462
5,5,0.02,0.0025,0.0025,0.01,0.01,0.005,0.0,2.0,0.9990123543576452,0.9679605429089835
6,6,0.0225,0.0025,0.0025,0.0125,0.01,0.0,0.0,0.0,0.9421472246771487,0.9088470592175525
7,7,0.025,0.0025,0.0025,0.015,0.01,0.0,0.0,0.0,0.9500174863641451,0.9122993848730683
8,8,0.03,0.0025,0.0025,0.0175,0.0125,0.0025,0.0,1.0,0.9977976185279825,0.9500101536606456
9,9,0.0325,0.0025,0.0025,0.02,0.0125,0.0,0.0,0.0,0.9857779907451212,0.9340685173713231
10,10,0.0325,0.0,0.0,0.02,0.0125,0.0,0.0,0.0,1.0493157463341938,0.9942733684811826
11,11,0.035,0.0,0.0,0.02,0.015,0.0025,0.0,1.0,1.0353558410720998,0.977847706409668
12,12,0.035,0.0,0.0,0.02,0.015,0.0,0.0,0.0,1.0510426824307868,0.992663232854683
13,13,0.045,0.0025,0.0025,0.0225,0.0225,0.0075,0.0,3.0,0.9557247788611822,0.8956954581350929
14,14,0.05,0.0025,0.0025,0.025,0.025,0.0025,0.0,1.0,0.9675284072707523,0.9027534385167838
15,15,0.0575,0.0,0.0,0.025,0.0325,0.0075,0.0,3.0,1.0727491971441405,0.996222600550161
16,16,0.0625,0.0025,0.0025,0.0275,0.035,0.0025,0.0,1.0,1.0017545401956465,0.9259912030980374
17,17,0.0625,0.0,0.0,0.0275,0.035,0.0,0.0,0.0,1.0354887025854196,0.9571740291930504
18,18,0.0725,0.0,0.0,0.0275,0.045,0.01,0.0,4.0,1.022804371637684,0.9477776658119231
19,19,0.0725,0.0,0.0,0.0275,0.045,0.0025,0.0025,0.9975,1.0343844661957287,0.9601460331000332
20,20,0.075,0.0,0.0,0.0275,0.0475,0.0025,0.0,1.0,1.0298260348177033,0.9548645796425526
21,21,0.0775,0.0,0.0,0.0275,0.05,0.0025,0.0,1.0,1.01888473859363,0.9436711102158193
22,22,0.085,0.0025,0.0025,0.03,0.055,0.005,0.0,2.0,0.9440521534803394,0.8721505205478155
23,23,0.085,0.0,0.0,0.03,0.055,0.0,0.0,0.0,1.003055931969824,0.926660407458384
24,24,0.085,0.0,0.0,0.03,0.055,0.0,0.0,0.0,1.013991372612753,0.9367629745824458
25,25,0.0875,0.0,0.0,0.03,0.0575,0.0025,0.0,1.0,1.002003526830163,0.9230231093584162
26,26,0.0875,0.0,0.0,0.03,0.0575,0.0,0.0,0.0,1.082283562823555,0.9969752726571248
27,27,0.09,0.0025,0.0025,0.0325,0.0575,0.0025,0.0025,0.9975,0.8898278215776381,0.8201567933521644
28,28,0.09,0.0,0.0,0.0325,0.0575,0.0,0.0,0.0,1.0303451360079272,0.9496719953035662
29,29,0.09,0.0,0.0,0.0325,0.0575,0.0,0.0,0.0,1.0837089882065534,0.9988576072150336
30,30,0.0925,0.0025,0.0025,0.035,0.0575,0.0,0.0,0.0,0.9513151007070607,0.8758031649745202
31,31,0.0975,0.0,0.0,0.035,0.0625,0.005,0.0,2.0,1.0066867851910106,0.9270086769318274
32,32,0.0975,0.0,0.0,0.035,0.0625,0.0,0.0,0.0,1.0457355395793204,0.96296676704868
33,33,0.0975,0.0,0.0,0.035,0.0625,0.0,0.0,0.0,1.085135802398698,0.9992485441061061
34,34,0.1025,0.0,0.0,0.035,0.0675,0.005,0.0,2.0,1.0403307963515334,0.9615772391258407
35,35,0.105,0.0,0.0,0.035,0.07,0.0025,0.0,1.0,1.0661289967628285,0.9851037817383843
36,36,0.11,0.0,0.0,0.035,0.075,0.005,0.0,2.0,1.051903860961521,0.9730294834087251
37,37,0.115,0.0,0.0,0.035,0.08,0.005,0.0,2.0,1.04779355750306,0.9745946754971975
38,38,0.115,0.0,0.0,0.035,0.08,0.0,0.0,0.0,1.0640818913806118,0.9897451059957514
39,39,0.1225,0.0,0.0,0.035,0.0875,0.0075,0.0,3.0,1.068193408713235,0.9960939082705232
40,40,0.1275,0.0025,0.0025,0.0375,0.09,0.0025,0.0,1.0,0.9299781812697858,0.869709681195877
41,41,0.13,0.0,0.0,0.0375,0.0925,0.0025,0.0,1.0,1.025173356156872,0.9618459954832671
42,42,0.1375,0.0025,0.0025,0.04,0.0975,0.005,0.0,2.0,0.9417232897634973,0.8841982344132017
