,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.9177038677713583,0.9140769126544127
2,2,0.0075,0.0025,0.0025,0.005,0.0025,0.0025,0.0,1.0,0.9667912571706131,0.9570666864255896
3,3,0.0125,0.0025,0.0025,0.0075,0.005,0.0025,0.0,1.0,0.9760665433438781,0.9588037908383104
4,4,0.015,0.0025,0.0025,0.01,0.005,0.0,0.0,0.0,0.8881948515569908,0.8684666617572543
5,5,0.015,0.0,0.0,0.01,0.005,0.0,0.0,0.0,1.0172055171414385,0.994611799701704
6,6,0.0225,0.0025,0.0025,0.0125,0.01,0.005,0.0,2.0,0.9365148326681775,0.9082364487244939
7,7,0.025,0.0,0.0,0.0125,0.0125,0.0025,0.0,1.0,1.0177960272296764,0.9879606274218883
8,8,0.0275,0.0025,0.0025,0.015,0.0125,0.0,0.0,0.0,0.9003887257236042,0.8694155193285524
9,9,0.03,0.0025,0.0025,0.0175,0.0125,0.0,0.0,0.0,0.9681044470283795,0.9305084428047412
10,10,0.0325,0.0025,0.0025,0.02,0.0125,0.0,0.0,0.0,0.8921414566962766,0.8534725215646883
11,11,0.035,0.0,0.0,0.02,0.015,0.0025,0.0,1.0,1.0238239544823713,0.9810146545981894
12,12,0.0475,0.0025,0.0025,0.0225,0.025,0.01,0.0,4.0,0.9231780549854427,0.8794355115342836
13,13,0.05,0.0,0.0,0.0225,0.0275,0.0025,0.0,1.0,1.0438025067220524,0.9942648812160554
14,14,0.055,0.0025,0.0025,0.025,0.03,0.0025,0.0,1.0,0.9915619253887961,0.9411960699688118
15,15,0.0675,0.0025,0.0025,0.0275,0.04,0.01,0.0,4.0,0.8993779146702059,0.8444781532365537
16,16,0.0725,0.0,0.0,0.0275,0.045,0.005,0.0,2.0,1.0337994727984006,0.9678240438042146
17,17,0.075,0.0,0.0,0.0275,0.0475,0.0025,0.0,1.0,1.032521434809056,0.9655881793690956
18,18,0.08,0.0,0.0,0.0275,0.0525,0.005,0.0,2.0,1.019708163887964,0.948254941160677
19,19,0.085,0.0,0.0,0.0275,0.0575,0.005,0.0,2.0,1.0365462214774233,0.9667441766769003
20,20,0.0925,0.0025,0.0025,0.03,0.0625,0.005,0.0,2.0,1.0015875947643251,0.9333825731103254
21,21,0.095,0.0,0.0,0.03,0.065,0.0025,0.0,1.0,1.014470184154122,0.9459443041048006
22,22,0.0975,0.0,0.0,0.03,0.0675,0.0025,0.0,1.0,1.0237186280372337,0.9534592864755878
23,23,0.0975,0.0,0.0,0.03,0.0675,0.0,0.0,0.0,1.0414823012396774,0.97000381220065
24,24,0.1,0.0,0.0,0.03,0.07,0.0025,0.0,1.0,1.0220399660254684,0.9516135389562634
25,25,0.1025,0.0,0.0,0.03,0.0725,0.0025,0.0,1.0,1.0683129817005703,0.9978944564804738
26,26,0.1075,0.0,0.0,0.03,0.0775,0.005,0.0,2.0,1.0337711876827829,0.9675970029231313
27,27,0.11,0.0,0.0,0.03,0.08,0.0025,0.0,1.0,1.033813716679415,0.9699063603288599
28,28,0.1125,0.0,0.0,0.03,0.0825,0.005,0.0025,1.9975,1.041641575845345,0.9804161321002395
29,29,0.115,0.0,0.0,0.03,0.085,0.0025,0.0,1.0,1.054322931434814,0.9920461151423398
30,30,0.1175,0.0,0.0,0.03,0.0875,0.0025,0.0,1.0,1.0390195676279688,0.9799518614368596
31,31,0.1225,0.0025,0.0025,0.0325,0.09,0.0025,0.0,1.0,0.9247014622273731,0.8723565494387071
32,32,0.1225,0.0,0.0,0.0325,0.09,0.0,0.0,0.0,1.05103884048191,0.9915423016638515
33,33,0.1225,0.0,0.0,0.0325,0.09,0.0025,0.0025,0.9975,1.0419216512321836,0.9829412124698179
34,34,0.1225,0.0,0.0,0.0325,0.09,0.0,0.0,0.0,1.0353456863596127,0.9767374956381735
35,35,0.125,0.0,0.0,0.0325,0.0925,0.0025,0.0,1.0,1.0070771755193375,0.9506105328744723
36,36,0.125,0.0,0.0,0.0325,0.0925,0.0,0.0,0.0,1.0262510959188242,0.9687093748811432
37,37,0.14,0.0025,0.0025,0.035,0.105,0.0125,0.0,5.0,0.8903522550554699,0.8478681270621901
38,38,0.1425,0.0025,0.0025,0.0375,0.105,0.0,0.0,0.0,0.9948283281217827,0.9470316302718738
39,39,0.1475,0.0025,0.0025,0.04,0.1075,0.0025,0.0,1.0,0.9348896581724443,0.8934123045161808
40,40,0.1525,0.0,0.0,0.04,0.1125,0.005,0.0,2.0,1.0371305366373418,0.9940490498916414
41,41,0.1575,0.0025,0.0025,0.0425,0.115,0.0025,0.0,1.0,0.9058115285648196,0.8691548942264389
42,42,0.16,0.0,0.0,0.0425,0.1175,0.0025,0.0,1.0,1.038615031304196,0.9980582661000471
43,43,0.165,0.0025,0.0025,0.045,0.12,0.0025,0.0,1.0,0.8792510094938467,0.8458524714587025
44,44,0.1725,0.0025,0.0025,0.0475,0.125,0.005,0.0,2.0,0.6432502518020055,0.6209906665951661
45,45,0.175,0.0025,0.0025,0.05,0.125,0.0025,0.0025,0.9975,0.8428783663590081,0.8133948734982932
46,46,0.175,0.0,0.0,0.05,0.125,0.0,0.0,0.0,1.0327922815058386,0.9966656883060206
47,47,0.18,0.0,0.0,0.05,0.13,0.005,0.0,2.0,1.0071997960243422,0.9766810018276576
48,48,0.1825,0.0025,0.0025,0.0525,0.13,0.0,0.0,0.0,0.8837940993065184,0.8582890395798017
49,49,0.1875,0.0025,0.0025,0.055,0.1325,0.0025,0.0,1.0,0.9770025151814337,0.9516361212574153
50,50,0.19,0.0025,0.0025,0.0575,0.1325,0.0,0.0,0.0,0.9704598464307986,0.9466735037332885
51,51,0.1925,0.0025,0.0025,0.06,0.1325,0.0,0.0,0.0,0.8322919247280037,0.8138769520248832
52,52,0.19,0.0,0.0,0.06,0.13,0.0,0.0025,-0.0025,1.0138163167413143,0.9880311120112126
53,53,0.1925,0.0025,0.0025,0.0625,0.13,0.0,0.0,0.0,0.9815572250795082,0.9589288408230983
