,p_e,phi,rho,te,s
0,0.0,1.0,0.0,199.9989233973149,10000.0
1,0.0,1.25,0.0,199.9989233973149,10000.0
2,0.0,1.5,0.0,199.9989233973149,10000.0
3,0.0,1.0,0.05,199.9989233973149,10000.0
4,0.0,1.25,0.05,17286.627098260793,10000.0
5,0.0,1.5,0.05,18860.716698271095,10000.0
6,0.0,1.0,0.1,199.9989233973149,10000.0
7,0.0,1.25,0.1,18112.57548379309,10000.0
8,0.0,1.5,0.1,19773.951197887487,10000.0
9,0.05,1.0,0.0,4755.254383949359,10000.0
10,0.05,1.25,0.0,4755.254383949359,10000.0
11,0.05,1.5,0.0,4755.254383949359,10000.0
12,0.05,1.0,0.05,4755.254383949359,10000.0
13,0.05,1.25,0.05,18822.68310201888,10000.0
14,0.05,1.5,0.05,70799.87325310383,10000.0
15,0.05,1.0,0.1,4755.254383949359,10000.0
16,0.05,1.25,0.1,18825.31851345448,10000.0
17,0.05,1.5,0.1,70815.28050307889,10000.0
18,0.1,1.0,0.0,4877.571033900469,10000.0
19,0.1,1.25,0.0,4877.571033900469,10000.0
20,0.1,1.5,0.0,4877.571033900469,10000.0
21,0.1,1.0,0.05,4877.571033900469,10000.0
22,0.1,1.25,0.05,18812.233971759775,10000.0
23,0.1,1.5,0.05,70752.16455306055,10000.0
24,0.1,1.0,0.1,4877.571033900469,10000.0
25,0.1,1.25,0.1,18813.57997341345,10000.0
26,0.1,1.5,0.1,70759.93207198879,10000.0
