,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.005,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,1.0,0.9179091171186907,0.9140769126544127
2,2,0.01,0.0025,0.0025,0.005,0.005,0.0025,0.0,1.0,0.9675117395509877,0.9570666864255896
3,3,0.015,0.0025,0.0025,0.0075,0.0075,0.0025,0.0,1.0,0.9784829493997006,0.9588037908383104
4,4,0.0175,0.0025,0.0025,0.01,0.0075,0.0,0.0,0.0,0.8905386691671073,0.8684666617572543
5,5,0.0175,0.0,0.0,0.01,0.0075,0.0,0.0,0.0,1.019889775218373,0.994611799701704
6,6,0.025,0.0025,0.0025,0.0125,0.0125,0.005,0.0,2.0,0.9392436502876258,0.9082364487244939
7,7,0.0275,0.0,0.0,0.0125,0.015,0.0025,0.0,1.0,1.0207895181595066,0.9879606274218883
8,8,0.03,0.0025,0.0025,0.015,0.015,0.0,0.0,0.0,0.9010135528869655,0.8694155193285524
9,9,0.0325,0.0025,0.0025,0.0175,0.015,0.0,0.0,0.0,0.9672994046784292,0.9305084428047412
10,10,0.035,0.0025,0.0025,0.02,0.015,0.0,0.0,0.0,0.8907161661395357,0.8534725215646883
11,11,0.0375,0.0,0.0,0.02,0.0175,0.0025,0.0,1.0,1.0246422780842277,0.9810146545981894
12,12,0.0525,0.0025,0.0025,0.0225,0.03,0.0125,0.0,5.0,0.9225735711961792,0.8794355115342836
13,13,0.055,0.0,0.0,0.0225,0.0325,0.0025,0.0,1.0,1.041410986727387,0.9942648812160554
14,14,0.06,0.0025,0.0025,0.025,0.035,0.0025,0.0,1.0,0.9943059647811685,0.9411960699688118
15,15,0.0725,0.0025,0.0025,0.0275,0.045,0.01,0.0,4.0,0.8974450215048188,0.8444781532365537
16,16,0.0775,0.0,0.0,0.0275,0.05,0.005,0.0,2.0,1.0316083312652242,0.9678240438042146
17,17,0.08,0.0,0.0,0.0275,0.0525,0.0025,0.0,1.0,1.0321180470845641,0.9655881793690956
18,18,0.085,0.0,0.0,0.0275,0.0575,0.005,0.0,2.0,1.0176007454889306,0.948254941160677
19,19,0.09,0.0,0.0,0.0275,0.0625,0.005,0.0,2.0,1.0370996867772657,0.9667441766769003
20,20,0.0975,0.0025,0.0025,0.03,0.0675,0.005,0.0,2.0,0.9969206818987736,0.9333825731103254
21,21,0.1,0.0,0.0,0.03,0.07,0.0025,0.0,1.0,1.0088561884351117,0.9459443041048006
