,phi,rho,te,s
441,1.185,0.004,7928.152252450493,10000.0
442,1.19,0.004,8072.55629209401,10000.0
443,1.195,0.004,8220.379670319286,10000.0
444,1.2,0.004,8371.708130869714,10000.0
445,1.205,0.004,8526.630377342914,10000.0
446,1.21,0.004,8685.244193956858,10000.0
447,1.215,0.004,8847.653257270604,10000.0
448,1.22,0.004,9013.977769156501,10000.0
449,1.225,0.004,9184.360355710473,10000.0
450,1.23,0.004,9359.005336384898,10000.0
451,1.235,0.004,9538.273969562793,10000.0
452,1.24,0.004,9723.268976580981,10000.0
453,1.245,0.004,9981.624345065877,10000.0
454,1.25,0.004,10905.59604095512,10000.0
455,1.255,0.004,11213.057162471128,10000.0
456,1.26,0.004,11485.52888699933,10000.0
457,1.2650000000000001,0.004,11744.167814458753,10000.0
458,1.27,0.004,11997.028243436185,10000.0
459,1.275,0.004,12248.195271079303,10000.0
460,1.28,0.004,12500.077843587362,10000.0
461,1.2850000000000001,0.004,12754.241363109802,10000.0
462,1.29,0.004,13011.773237883874,10000.0
463,1.295,0.004,13273.470129746536,10000.0
464,1.3,0.004,13539.941447919688,10000.0
465,1.305,0.004,13811.670348278954,10000.0
466,1.31,0.004,14089.053857745044,10000.0
467,1.315,0.004,14372.42803302516,10000.0
468,1.32,0.004,14662.085531260967,10000.0
469,1.325,0.004,14958.289112142196,10000.0
470,1.33,0.004,15261.279351353938,10000.0
471,1.335,0.004,15571.281473672116,10000.0
472,1.34,0.004,15888.511102726816,10000.0
473,1.345,0.004,16213.176176487932,10000.0
474,1.35,0.004,16545.48113844129,10000.0
475,1.355,0.004,16885.62911536484,10000.0
476,1.3599999999999999,0.004,17233.821994541937,10000.0
477,1.365,0.004,17590.26304289428,10000.0
478,1.37,0.004,17955.15760991207,10000.0
479,1.375,0.004,18328.713741063453,10000.0
480,1.38,0.004,18711.142322883126,10000.0
481,1.385,0.004,19102.6585271267,10000.0
482,1.3900000000000001,0.004,19503.481351002396,10000.0
483,1.395,0.004,19913.832705089117,10000.0
484,1.4,0.004,20333.94479601876,10000.0
485,1.405,0.004,20764.04839986896,10000.0
486,1.4100000000000001,0.004,21204.38231682323,10000.0
487,1.415,0.004,21655.190454223266,10000.0
488,1.42,0.004,22116.72377087835,10000.0
489,1.425,0.004,22589.237132373954,10000.0
490,1.43,0.004,23072.991872904757,10000.0
491,1.435,0.004,23568.25537538198,10000.0
492,1.44,0.004,24075.30279265539,10000.0
493,1.445,0.004,24594.413890724176,10000.0
494,1.45,0.004,25125.87549177625,10000.0
495,1.455,0.004,25669.98183011117,10000.0
496,1.46,0.004,26227.03383657291,10000.0
497,1.465,0.004,26797.339365112373,10000.0
498,1.47,0.004,27381.21442048576,10000.0
499,1.475,0.004,27978.981354586784,10000.0
500,1.48,0.004,28590.970793513457,10000.0
501,1.4849999999999999,0.004,29217.52107921754,10000.0
502,1.49,0.004,29858.978951893732,10000.0
503,1.495,0.004,30515.698549082037,10000.0
504,1.5,0.004,31188.042927135873,10000.0
505,1.0,0.005,4389.0644099208175,10000.0
506,1.005,0.005,4460.539210657914,10000.0
507,1.01,0.005,4533.740625507174,10000.0
508,1.015,0.005,4608.710364613664,10000.0
509,1.02,0.005,4685.491145730059,10000.0
510,1.025,0.005,4764.126718558277,10000.0
511,1.03,0.005,4844.661889678712,10000.0
512,1.035,0.005,4927.142548081712,10000.0
513,1.04,0.005,5011.615691316137,10000.0
514,1.045,0.005,5098.129452269261,10000.0
515,1.05,0.005,5186.733126593998,10000.0
516,1.055,0.005,5277.477200798115,10000.0
517,1.06,0.005,5370.413381012779,10000.0
518,1.065,0.005,5465.594622455523,10000.0
519,1.07,0.005,5563.075159604964,10000.0
520,1.075,0.005,5662.910537105016,10000.0
521,1.08,0.005,5765.157641415035,10000.0
522,1.085,0.005,5869.874733224877,10000.0
523,1.09,0.005,5977.121480653036,10000.0
524,1.095,0.005,6086.958993246737,10000.0
525,1.1,0.005,6199.449856803383,10000.0
526,1.105,0.005,6314.658169033062,10000.0
527,1.11,0.005,6432.649576082972,10000.0
528,1.115,0.005,6553.493153054448,10000.0
529,1.12,0.005,6677.281497570785,10000.0
530,1.125,0.005,6804.082617582673,10000.0
531,1.13,0.005,6933.966438132855,10000.0
532,1.135,0.005,7067.006727589303,10000.0
533,1.1400000000000001,0.005,7203.279818156392,10000.0
534,1.145,0.005,7342.86384224125,10000.0
535,1.15,0.005,7485.838852334314,10000.0
536,1.155,0.005,7632.288390437948,10000.0
537,1.16,0.005,7782.297742409455,10000.0
538,1.165,0.005,7935.954997253474,10000.0
539,1.17,0.005,8093.353330226737,10000.0
540,1.175,0.005,8254.586898483087,10000.0
541,1.18,0.005,8419.758430919923,10000.0
542,1.185,0.005,8588.975066912884,10000.0
543,1.19,0.005,8762.35476315464,10000.0
544,1.195,0.005,8940.03061896738,10000.0
545,1.2,0.005,9122.164650012623,10000.0
546,1.205,0.005,9308.982808266639,10000.0
547,1.21,0.005,9500.89672309208,10000.0
548,1.215,0.005,9699.180722719962,10000.0
549,1.22,0.005,10464.42911484337,10000.0
550,1.225,0.005,10982.71553209888,10000.0
551,1.23,0.005,11306.950587455236,10000.0
552,1.235,0.005,11596.903019987058,10000.0
553,1.24,0.005,11873.588919605272,10000.0
554,1.245,0.005,12145.139959369473,10000.0
555,1.25,0.005,12415.708647204694,10000.0
556,1.255,0.005,12687.749734584177,10000.0
