,p_e,phi,rho,te,s
0,0.0,1.0,0.0,199.9989233973149,10000.0
1,0.0,1.025,0.0,199.9989233973149,10000.0
2,0.0,1.05,0.0,199.9989233973149,10000.0
3,0.0,1.075,0.0,199.9989233973149,10000.0
4,0.0,1.1,0.0,199.9989233973149,10000.0
5,0.0,1.125,0.0,199.9989233973149,10000.0
6,0.0,1.15,0.0,199.9989233973149,10000.0
7,0.0,1.175,0.0,199.9989233973149,10000.0
8,0.0,1.2,0.0,199.9989233973149,10000.0
9,0.0,1.225,0.0,199.9989233973149,10000.0
10,0.0,1.25,0.0,199.9989233973149,10000.0
11,0.0,1.275,0.0,199.9989233973149,10000.0
12,0.0,1.3,0.0,199.9989233973149,10000.0
13,0.0,1.325,0.0,199.9989233973149,10000.0
14,0.0,1.35,0.0,199.9989233973149,10000.0
15,0.0,1.375,0.0,199.9989233973149,10000.0
16,0.0,1.4,0.0,199.9989233973149,10000.0
17,0.0,1.425,0.0,199.9989233973149,10000.0
18,0.0,1.45,0.0,199.9989233973149,10000.0
19,0.0,1.475,0.0,199.9989233973149,10000.0
20,0.0,1.5,0.0,199.9989233973149,10000.0
21,0.0,1.0,0.05,199.9989233973149,10000.0
22,0.0,1.025,0.05,251.11770207601725,424.19846112695245
23,0.0,1.05,0.05,735.890344481615,821.7927061268133
24,0.0,1.075,0.05,4641.84753603178,3796.229410534538
25,0.0,1.1,0.05,14750.392612142436,10000.0
26,0.0,1.125,0.05,15599.785467557964,10000.0
27,0.0,1.15,0.05,16106.53974502793,10000.0
28,0.0,1.175,0.05,16484.085376329407,10000.0
29,0.0,1.2,0.05,16791.56073128334,10000.0
30,0.0,1.225,0.05,17054.56967984359,10000.0
31,0.0,1.25,0.05,17286.627098260793,10000.0
32,0.0,1.275,0.05,17495.822393973012,10000.0
33,0.0,1.3,0.05,17687.335135731526,10000.0
34,0.0,1.325,0.05,17864.69900787303,10000.0
35,0.0,1.35,0.05,18030.448046039444,10000.0
