,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
54,54,0.56,0.0,0.0025,0.04,0.52,0.02,0.0325,7.9675,0.5658291088867621,0.9961590822182258
55,55,0.5625,0.0025,0.0025,0.0425,0.52,0.0225,0.0225,8.9775,0.54687781974494,0.9701269429913986
56,56,0.5675,0.0025,0.0025,0.045,0.5225,0.04,0.0375,15.9625,0.4906295065990413,0.8795437025844385
57,57,0.575,0.0,0.0025,0.0425,0.5325,0.025,0.02,9.98,0.5257598457871027,0.9600400018307539
58,58,0.5675,0.0,0.0025,0.0425,0.525,0.0275,0.0375,10.9625,0.5424689459535722,0.9709176121426348
59,59,0.5775,0.0025,0.0025,0.045,0.5325,0.0225,0.015,8.985,0.5358587486965108,0.9845771626280425
60,60,0.5375,0.0,0.0025,0.04,0.4975,0.0125,0.055,4.945,0.5442644858552815,0.9105654714009994
61,61,0.535,0.0025,0.0025,0.0425,0.4925,0.015,0.02,5.98,0.5979773010172312,0.9932624519942523
62,62,0.5375,0.0025,0.0025,0.045,0.4925,0.025,0.025,9.975,0.5506336091675237,0.9198275390725492
63,63,0.55,0.0,0.0025,0.045,0.505,0.0325,0.0225,12.9775,0.45635977010047346,0.783436422580913
64,64,0.5525,0.0,0.0025,0.045,0.5075,0.03,0.03,11.97,0.5504295222115982,0.9519583004848198
65,65,0.545,0.0025,0.0025,0.0475,0.4975,0.015,0.025,5.975,0.5707711961266834,0.9685303911294834
66,66,0.54,0.0,0.0025,0.0475,0.4925,0.0175,0.025,6.975,0.5479877514535516,0.9206452149772149
67,67,0.5375,0.0,0.0025,0.0425,0.495,0.0425,0.0475,16.9525,0.5903420174598697,0.9891511982817053
68,68,0.5525,0.0025,0.0025,0.045,0.5075,0.0275,0.015,10.985,0.5482845862793042,0.94972679396676
69,69,0.5575,0.0,0.0025,0.045,0.5125,0.0275,0.025,10.975,0.5176959436724217,0.9074253305311376
70,70,0.5675,0.0,0.0025,0.0425,0.525,0.0225,0.015,8.985,0.5352073688485106,0.9625413549274914
71,71,0.5625,0.0025,0.0025,0.045,0.5175,0.0125,0.02,4.98,0.5005385599440397,0.8879240032706064
72,72,0.575,0.0,0.0025,0.045,0.53,0.0225,0.0125,8.9875,0.5407762318905971,0.9906818413260937
73,73,0.5575,0.0025,0.0025,0.0475,0.51,0.0175,0.0375,6.9625,0.5383798761214703,0.943680442182424
74,74,0.54,0.0025,0.0025,0.05,0.49,0.01,0.03,3.97,0.5742447075732836,0.9662266692903433
75,75,0.5475,0.0,0.0025,0.0475,0.5,0.035,0.03,13.97,0.5456529775810877,0.9327237417406937
76,76,0.5475,0.0,0.0025,0.0475,0.5,0.035,0.0375,13.9625,0.5444874881880591,0.9307314871901116
77,77,0.5275,0.0,0.0025,0.045,0.4825,0.015,0.0375,5.9625,0.5524393012872199,0.9049839729124973
78,78,0.51,0.0,0.0025,0.045,0.465,0.0175,0.0375,6.9625,0.631844360954798,0.99466501330608
79,79,0.4975,0.0,0.0025,0.045,0.4525,0.02,0.035,7.965,0.6467901070501014,0.9915228218283864
80,80,0.48,0.0025,0.0025,0.045,0.435,0.01,0.03,3.97,0.6715614306551049,0.9930266338629206
81,81,0.505,0.0025,0.0025,0.0475,0.4575,0.03,0.0075,11.9925,0.5707906658674853,0.888991549478219
82,82,0.4975,0.0025,0.0025,0.05,0.4475,0.0175,0.0275,6.9725,0.6150538708138769,0.941543679316888
83,83,0.495,0.0,0.0025,0.0475,0.4475,0.0225,0.0275,8.9725,0.6493787491348845,0.9889106937767136
84,84,0.5025,0.0025,0.0025,0.05,0.4525,0.02,0.015,7.985,0.6208551314000015,0.9604800335678135
85,85,0.49,0.0,0.0025,0.0475,0.4425,0.025,0.04,9.96,0.6302512256368638,0.9498819350300988
86,86,0.4725,0.0025,0.0025,0.05,0.4225,0.0125,0.0325,4.9675,0.6123707384028804,0.8895372466977169
87,87,0.47,0.0,0.0025,0.0525,0.4175,0.02,0.025,7.975,0.6416803384596972,0.9299906665301285
88,88,0.485,0.0025,0.0025,0.055,0.43,0.035,0.0225,13.9775,0.6370060951757848,0.951567541041424
89,89,0.4925,0.0,0.0025,0.055,0.4375,0.0275,0.0225,10.9775,0.625444461227084,0.9501771156588117
90,90,0.5125,0.0,0.0025,0.055,0.4575,0.0375,0.02,14.98,0.6120207511391391,0.9686652408762755
91,91,0.5125,0.0025,0.0025,0.0575,0.455,0.0225,0.025,8.975,0.6079949367853906,0.9622934529533356
92,92,0.5175,0.0,0.0025,0.055,0.4625,0.03,0.0275,11.9725,0.6128480915987542,0.9805695998721351
93,93,0.54,0.0,0.0025,0.055,0.485,0.045,0.025,17.975,0.5361657348472325,0.9035287229373162
94,94,0.525,0.0,0.0025,0.0525,0.4725,0.025,0.0425,9.9575,0.5745118662654387,0.9331508139693548
95,95,0.53,0.0025,0.0025,0.055,0.475,0.0225,0.02,8.98,0.5502971931097824,0.9038314600187645
96,96,0.52,0.0,0.0025,0.055,0.465,0.015,0.0275,5.9725,0.6042380573555881,0.9706761219048048
97,97,0.5325,0.0,0.0025,0.055,0.4775,0.035,0.025,13.975,0.4683915446853687,0.7759618723942584
98,98,0.5275,0.0,0.0025,0.055,0.4725,0.0225,0.03,8.97,0.6095784261771808,0.9985870024782298
99,99,0.5175,0.0,0.0025,0.05,0.4675,0.0325,0.045,12.955,0.6081377933745548,0.9730330254611215
100,100,0.52,0.0025,0.0025,0.0525,0.4675,0.02,0.02,7.98,0.581691417827831,0.9344561513942259
101,101,0.515,0.0,0.0025,0.0525,0.4625,0.02,0.0275,7.9725,0.624421093081067,0.9922177057143794
102,102,0.515,0.0,0.0025,0.0475,0.4675,0.0275,0.03,10.97,0.6015967293508979,0.9559493315904473
103,103,0.5425,0.0025,0.0025,0.05,0.4925,0.0325,0.0075,12.9925,0.592330103550988,0.9993397983390617
104,104,0.5425,0.0,0.0025,0.05,0.4925,0.02,0.0225,7.9775,0.5820525201050422,0.9820001458265329
105,105,0.56,0.0,0.0025,0.05,0.51,0.04,0.025,15.975,0.5597102057600967,0.9822791280246798
106,106,0.55,0.0,0.0025,0.0475,0.5025,0.0175,0.03,6.97,0.5693864494707237,0.9759576853755351
107,107,0.5525,0.0025,0.0025,0.05,0.5025,0.025,0.025,9.975,0.5352259879054854,0.9227870713697823
108,108,0.535,0.0,0.0025,0.05,0.485,0.0125,0.0325,4.9675,0.5633065227698896,0.9342647846843696
109,109,0.54,0.0025,0.0025,0.0525,0.4875,0.0375,0.035,14.965,0.48621818388473975,0.8156285086261503
110,110,0.5275,0.0,0.0025,0.0475,0.48,0.0225,0.0375,8.9625,0.5840620935810009,0.953946689941248
111,111,0.5225,0.0025,0.0025,0.0475,0.475,0.0225,0.03,8.97,0.5981483969031859,0.964768028684518
112,112,0.5075,0.0,0.0025,0.0475,0.46,0.01,0.0275,3.9725,0.6208535940603309,0.9693526782308278
113,113,0.5225,0.0,0.0025,0.0475,0.475,0.035,0.0225,13.9775,0.6193539886149148,0.9989710408780369
114,114,0.52,0.0,0.0025,0.0475,0.4725,0.02,0.025,7.975,0.617773794079307,0.9909672748198612
115,115,0.5175,0.0025,0.0025,0.05,0.4675,0.0175,0.0225,6.9775,0.6084558025331129,0.9707047105492046
116,116,0.5325,0.0025,0.0025,0.0525,0.48,0.0425,0.03,16.97,0.5857867793342248,0.9646413410847948
117,117,0.5375,0.0,0.0025,0.05,0.4875,0.035,0.0325,13.9675,0.5898059394127901,0.9837747333231067
118,118,0.5325,0.0,0.0025,0.05,0.4825,0.0175,0.025,6.975,0.5969367930451016,0.9830025683412353
119,119,0.5325,0.0025,0.0025,0.05,0.4825,0.0225,0.025,8.975,0.6057813332972183,0.9990632257347828
120,120,0.52,0.0,0.0025,0.05,0.47,0.025,0.04,9.96,0.6086808829838992,0.9749522887482995
121,121,0.535,0.0,0.0025,0.05,0.485,0.0275,0.015,10.985,0.5543212620244115,0.917979403168342
122,122,0.5225,0.0025,0.0025,0.0525,0.47,0.015,0.03,5.97,0.6156239403177429,0.9929547556866165
123,123,0.53,0.0,0.0025,0.0525,0.4775,0.0175,0.0125,6.9875,0.5057478838683843,0.8294230846351326
124,124,0.5175,0.0,0.0025,0.0525,0.465,0.0175,0.0325,6.9675,0.612486078139057,0.9771344421734476
125,125,0.5175,0.0,0.0025,0.05,0.4675,0.025,0.0275,9.9725,0.5617664070994591,0.8962184193650954
126,126,0.5175,0.0,0.0025,0.045,0.4725,0.02,0.0225,7.9775,0.6251954205962746,0.9988665720045259
127,127,0.525,0.0025,0.0025,0.0475,0.4775,0.035,0.03,13.97,0.5886688748543168,0.9561453330799126
128,128,0.53,0.0025,0.0025,0.05,0.48,0.03,0.0275,11.9725,0.5667155904947055,0.9321885038532198
129,129,0.55,0.0025,0.0025,0.0525,0.4975,0.03,0.0125,11.9875,0.4943956272431469,0.8513675885116245
130,130,0.5475,0.0,0.0025,0.0525,0.495,0.0275,0.0325,10.9675,0.5617535892869336,0.9617282173484132
131,131,0.5475,0.0,0.0025,0.0525,0.495,0.0275,0.03,10.97,0.5611760229152657,0.959258395673107
132,132,0.5425,0.0,0.0025,0.0525,0.49,0.015,0.0225,5.9775,0.5422864053321443,0.9163079489107198
133,133,0.53,0.0,0.0025,0.0525,0.4775,0.02,0.035,7.965,0.5453311111263568,0.8970132481122235
134,134,0.52,0.0,0.0025,0.0525,0.4675,0.01,0.0225,3.9775,0.5554955722124453,0.896309539270512
135,135,0.5225,0.0,0.0025,0.05,0.4725,0.02,0.02,7.98,0.6031496928698996,0.9771425840782818
