,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0,0.9734430854853667,0.9695958374743819
2,2,0.005,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.9839873508297836,0.9753040373427969
3,3,0.0075,0.0025,0.0025,0.0075,0.0,0.0,0.0,0.0,0.991596163886336,0.9784713304846241
4,4,0.0075,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,1.0050277308854563,0.9917251163611385
5,5,0.01,0.0025,0.0025,0.01,0.0,0.0,0.0,0.0,0.9852900114920495,0.968154718982946
6,6,0.0125,0.0025,0.0025,0.0125,0.0,0.0,0.0,0.0,0.9983966584959718,0.9752323347080863
7,7,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,1.0160279198578883,0.9924545239407037
8,8,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,1.0187988441635731,0.9951611585802898
9,9,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,1.0232620163393464,0.9995207783608093
10,10,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,1.0008657745715994,0.9776441635284342
11,11,0.015,0.0025,0.0025,0.015,0.0,0.0,0.0,0.0,0.882727035995335,0.8581272042300558
12,12,0.015,0.0,0.0,0.015,0.0,0.0,0.0,0.0,1.0125482433536286,0.9843305549573034
13,13,0.0175,0.0025,0.0025,0.0175,0.0,0.0,0.0,0.0,0.997685284117408,0.9650617493993913
14,14,0.02,0.0025,0.0025,0.02,0.0,0.0,0.0,0.0,0.9463946926296086,0.9128299978081424
15,15,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.002429919114998,0.9668778872016385
16,16,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0009493690496796,0.9654498461069402
17,17,0.0225,0.0025,0.0025,0.0225,0.0,0.0,0.0,0.0,0.9074684462996602,0.8713697728215797
18,18,0.025,0.0025,0.0025,0.025,0.0,0.0,0.0,0.0,0.8824011317299933,0.8453939409991993
19,19,0.0275,0.0025,0.0025,0.0275,0.0,0.0,0.0,0.0,0.8679967460260615,0.8296824390893304
20,20,0.0275,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,1.0002423568185044,0.9560905868427296
21,21,0.03,0.0025,0.0025,0.03,0.0,0.0,0.0,0.0,0.839314156717504,0.7997511003085741
22,22,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0346277439955203,0.9858581200468133
23,23,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0478440204923594,0.9984514161156738
24,24,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.049385277571421,0.9999200223997124
25,25,0.0325,0.0025,0.0025,0.0325,0.0,0.0,0.0,0.0,0.9864521555683775,0.936954568663884
26,26,0.035,0.0025,0.0025,0.035,0.0,0.0,0.0,0.0,0.9435689242403832,0.8940371188785867
27,27,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0.0,1.0441806493672774,0.989367321630089
28,28,0.0375,0.0025,0.0025,0.0375,0.0,0.0,0.0,0.0,0.986536123438548,0.9279045362126714
29,29,0.0375,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,1.00239733059728,0.9428230837678265
30,30,0.0375,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,1.0495250657444255,0.9871499342353448
31,31,0.0375,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,1.009376836742051,0.9493877855140578
32,32,0.04,0.0025,0.0025,0.04,0.0,0.0,0.0,0.0,0.9988020979084792,0.9339943286658645
33,33,0.0425,0.0025,0.0025,0.0425,0.0,0.0,0.0,0.0,0.9238637648104598,0.861683340962683
34,34,0.0425,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,1.0291134096754682,0.9598491843227401
35,35,0.0425,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,1.0709803331458487,0.9988982647888278
36,36,0.045,0.0025,0.0025,0.045,0.0,0.0,0.0,0.0,0.9342222445594429,0.8697836844911967
37,37,0.0475,0.0025,0.0025,0.0475,0.0,0.0,0.0,0.0,0.9335577114404997,0.8683097181942808
38,38,0.0475,0.0,0.0,0.0475,0.0,0.0,0.0,0.0,1.0495360238457716,0.9761821020085388
39,39,0.0475,0.0,0.0,0.0475,0.0,0.0,0.0,0.0,1.0426228446702988,0.9697520971056616
