,p_e,phi,rho,te,s
1485,0.0024022488679628627,1.0,0.30000000000000004,191.55990632727935,815.1797996682526
1486,0.0024022488679628627,1.05,0.30000000000000004,306.9533301729722,865.5172365126576
1487,0.0024022488679628627,1.1,0.30000000000000004,548.0733269343165,984.0097211564912
1488,0.0024022488679628627,1.15,0.30000000000000004,1101.8410305700522,1287.707757909442
1489,0.0024022488679628627,1.2,0.30000000000000004,14722.35389588042,10000.0
1490,0.0024022488679628627,1.25,0.30000000000000004,19305.05392477806,10000.0
1491,0.0024022488679628627,1.3,0.30000000000000004,25195.322999352287,10000.0
1492,0.0024022488679628627,1.35,0.30000000000000004,32881.100790214325,10000.0
1493,0.0024022488679628627,1.4,0.30000000000000004,42912.707509027474,10000.0
1494,0.0024022488679628627,1.45,0.30000000000000004,56006.56993665537,10000.0
1495,0.0024022488679628627,1.5,0.30000000000000004,73097.9745134873,10000.0
1496,0.0024022488679628627,1.0,0.4,191.55990632727935,815.1797996682526
1497,0.0024022488679628627,1.05,0.4,307.5481805286748,865.7515448594859
1498,0.0024022488679628627,1.1,0.4,549.0014833844705,984.1097805461106
1499,0.0024022488679628627,1.15,0.4,1103.3911392609316,1287.7736792950782
1500,0.0024022488679628627,1.2,0.4,14724.735168180361,10000.0
1501,0.0024022488679628627,1.25,0.4,19308.67981561369,10000.0
1502,0.0024022488679628627,1.3,0.4,25200.674605949825,10000.0
1503,0.0024022488679628627,1.35,0.4,32888.82226473094,10000.0
1504,0.0024022488679628627,1.4,0.4,42923.69082774478,10000.0
1505,0.0024022488679628627,1.45,0.4,56022.04219627701,10000.0
1506,0.0024022488679628627,1.5,0.4,73119.61684243375,10000.0
1507,0.0024022488679628627,1.0,0.5,191.55990632727935,815.1797996682526
1508,0.0024022488679628627,1.05,0.5,307.90136931412275,865.886232039286
1509,0.0024022488679628627,1.1,0.5,549.5594891354384,984.169478861931
1510,0.0024022488679628627,1.15,0.5,1104.3155307123031,1287.8021419420825
1511,0.0024022488679628627,1.2,0.5,14726.167037737838,10000.0
1512,0.0024022488679628627,1.25,0.5,19310.864149911737,10000.0
1513,0.0024022488679628627,1.3,0.5,25203.89911554517,10000.0
1514,0.0024022488679628627,1.35,0.5,32893.48018909038,10000.0
1515,0.0024022488679628627,1.4,0.5,42930.325664872325,10000.0
1516,0.0024022488679628627,1.45,0.5,56031.39140931643,10000.0
1517,0.0024022488679628627,1.5,0.5,73132.6914278832,10000.0
1518,0.0024022488679628627,1.0,0.6000000000000001,191.55990632727935,815.1797996682526
