,p_e,phi,rho,te,s
111,0.0001,1.05,1,1284.21494,1220.258388
112,0.0001,1.1,1,5857.21016,4075.329466
113,0.0001,1.15,1,14387.87813,8433.124505
114,0.0001,1.2,1,22269.09855,10000
115,0.0001,1.25,1,29589.85072,10000
116,0.0001,1.3,1,39306.7207,10000
117,0.0001,1.35,1,52217.95285,10000
118,0.0001,1.4,1,69375.18967,10000
119,0.0001,1.45,1,92176.421,10000
120,0.0001,1.5,1,122480.457,10000
121,0.000130332,1,0,196.7004006,400.5920317
122,0.000130332,1.05,0,196.7004006,400.5920317
123,0.000130332,1.1,0,196.7004006,400.5920317
124,0.000130332,1.15,0,196.7004006,400.5920317
125,0.000130332,1.2,0,196.7004006,400.5920317
126,0.000130332,1.25,0,196.7004006,400.5920317
127,0.000130332,1.3,0,196.7004006,400.5920317
128,0.000130332,1.35,0,196.7004006,400.5920317
129,0.000130332,1.4,0,196.7004006,400.5920317
130,0.000130332,1.45,0,196.7004006,400.5920317
131,0.000130332,1.5,0,196.7004006,400.5920317
132,0.000130332,1,0.1,196.7004006,400.5920317
133,0.000130332,1.05,0.1,864.020682,912.9553748
134,0.000130332,1.1,0.1,4444.188371,3251.304861
135,0.000130332,1.15,0.1,11078.93432,6756.761669
136,0.000130332,1.2,0.1,20348.53937,10000
137,0.000130332,1.25,0.1,26897.56768,10000
138,0.000130332,1.3,0.1,35528.06014,10000
139,0.000130332,1.35,0.1,46947.02558,10000
140,0.000130332,1.4,0.1,62058.81568,10000
141,0.000130332,1.45,0.1,82059.98682,10000
142,0.000130332,1.5,0.1,108535.0665,10000
143,0.000130332,1,0.2,196.7004006,400.5920317
144,0.000130332,1.05,0.2,1013.931372,1021.782474
145,0.000130332,1.1,0.2,4602.540501,3306.530007
146,0.000130332,1.15,0.2,11278.21723,6784.718629
147,0.000130332,1.2,0.2,20609.9568,10000
148,0.000130332,1.25,0.2,27294.52754,10000
149,0.000130332,1.3,0.2,36114.00474,10000
150,0.000130332,1.35,0.2,47794.08309,10000
151,0.000130332,1.4,0.2,63265.35056,10000
152,0.000130332,1.45,0.2,83760.54353,10000
153,0.000130332,1.5,0.2,110913.5172,10000
154,0.000130332,1,0.3,196.7004006,400.5920317
155,0.000130332,1.05,0.3,1062.670408,1055.730052
156,0.000130332,1.1,0.3,4652.482485,3323.03665
157,0.000130332,1.15,0.3,11343.588,6793.708692
158,0.000130332,1.2,0.3,20696.14667,10000
159,0.000130332,1.25,0.3,27425.48068,10000
160,0.000130332,1.3,0.3,36307.43045,10000
161,0.000130332,1.35,0.3,48073.8688,10000
162,0.000130332,1.4,0.3,63664.2162,10000
163,0.000130332,1.45,0.3,84323.1211,10000
164,0.000130332,1.5,0.3,111701.0069,10000
165,0.000130332,1,0.4,196.7004006,400.5920317
166,0.000130332,1.05,0.4,1086.585894,1072.109749
167,0.000130332,1.1,0.4,4677.220488,3331.083707
168,0.000130332,1.15,0.4,11376.33425,6798.190002
169,0.000130332,1.2,0.4,20739.38358,10000
170,0.000130332,1.25,0.4,27491.17718,10000
171,0.000130332,1.3,0.4,36404.48989,10000
172,0.000130332,1.35,0.4,48214.31693,10000
173,0.000130332,1.4,0.4,63864.44189,10000
174,0.000130332,1.45,0.4,84605.67259,10000
175,0.000130332,1.5,0.4,112096.5586,10000
176,0.000130332,1,0.5,196.7004006,400.5920317
177,0.000130332,1.05,0.5,1100.902556,1081.828955
178,0.000130332,1.1,0.5,4692.104614,3335.871609
179,0.000130332,1.15,0.5,11396.16205,6800.880658
180,0.000130332,1.2,0.5,20765.62386,10000
181,0.000130332,1.25,0.5,27531.05587,10000
182,0.000130332,1.3,0.5,36463.41013,10000
183,0.000130332,1.35,0.5,48299.57748,10000
184,0.000130332,1.4,0.5,63986.03973,10000
185,0.000130332,1.45,0.5,84777.22602,10000
186,0.000130332,1.5,0.5,112336.8413,10000
187,0.000130332,1,0.6,196.7004006,400.5920317
188,0.000130332,1.05,0.6,1110.560809,1088.348929
189,0.000130332,1.1,0.6,4702.238694,3339.130745
190,0.000130332,1.15,0.6,11409.66643,6802.714659
191,0.000130332,1.2,0.6,20783.48618,10000
192,0.000130332,1.25,0.6,27558.21533,10000
193,0.000130332,1.3,0.6,36503.54626,10000
194,0.000130332,1.35,0.6,48357.66695,10000
195,0.000130332,1.4,0.6,64068.89164,10000
196,0.000130332,1.45,0.6,84894.15109,10000
197,0.000130332,1.5,0.6,112500.5847,10000
198,0.000130332,1,0.7,196.7004006,400.5920317
199,0.000130332,1.05,0.7,1117.668975,1093.128843
200,0.000130332,1.1,0.7,4709.715277,3341.521217
201,0.000130332,1.15,0.7,11419.68714,6804.080492
202,0.000130332,1.2,0.7,20796.73118,10000
203,0.000130332,1.25,0.7,27578.34218,10000
204,0.000130332,1.3,0.7,36533.29762,10000
205,0.000130332,1.35,0.7,48400.72585,10000
206,0.000130332,1.4,0.7,64130.29879,10000
207,0.000130332,1.45,0.7,84980.87793,10000
208,0.000130332,1.5,0.7,112622.0491,10000
209,0.000130332,1,0.8,196.7004006,400.5920317
210,0.000130332,1.05,0.8,1123.335305,1096.928882
211,0.000130332,1.1,0.8,4715.694293,3343.428184
212,0.000130332,1.15,0.8,11427.70956,6805.169873
213,0.000130332,1.2,0.8,20807.34641,10000
214,0.000130332,1.25,0.8,27594.47176,10000
215,0.000130332,1.3,0.8,36557.14905,10000
216,0.000130332,1.35,0.8,48435.25893,10000
217,0.000130332,1.4,0.8,64179.5569,10000
218,0.000130332,1.45,0.8,85050.3413,10000
219,0.000130332,1.5,0.8,112719.4277,10000
220,0.000130332,1,0.9,196.7004006,400.5920317
221,0.000130332,1.05,0.9,1128.370623,1100.298795
222,0.000130332,1.1,0.9,4721.021428,3345.125291
223,0.000130332,1.15,0.9,11434.84519,6806.127839
224,0.000130332,1.2,0.9,20816.8214,10000
225,0.000130332,1.25,0.9,27608.88481,10000
226,0.000130332,1.3,0.9,36578.44646,10000
227,0.000130332,1.35,0.9,48466.07944,10000
228,0.000130332,1.4,0.9,64223.53037,10000
229,0.000130332,1.45,0.9,85112.45018,10000
230,0.000130332,1.5,0.9,112806.3615,10000
231,0.000130332,1,1,196.7004006,400.5920317
232,0.000130332,1.05,1,1139.837831,1108.026689
233,0.000130332,1.1,1,4733.009466,3349.033849
234,0.000130332,1.15,1,11450.80923,6808.377587
235,0.000130332,1.2,1,20837.75115,10000
236,0.000130332,1.25,1,27640.70142,10000
237,0.000130332,1.3,1,36625.47222,10000
238,0.000130332,1.35,1,48534.19591,10000
239,0.000130332,1.4,1,64320.75262,10000
240,0.000130332,1.45,1,85249.77353,10000
241,0.000130332,1.5,1,112998.9035,10000
242,0.000169865,1,0,195.7663903,400.6826824
243,0.000169865,1.05,0,195.7663903,400.6826824
244,0.000169865,1.1,0,195.7663903,400.6826824
245,0.000169865,1.15,0,195.7663903,400.6826824
246,0.000169865,1.2,0,195.7663903,400.6826824
247,0.000169865,1.25,0,195.7663903,400.6826824
248,0.000169865,1.3,0,195.7663903,400.6826824
249,0.000169865,1.35,0,195.7663903,400.6826824
250,0.000169865,1.4,0,195.7663903,400.6826824
251,0.000169865,1.45,0,195.7663903,400.6826824
252,0.000169865,1.5,0,195.7663903,400.6826824
253,0.000169865,1,0.1,195.7663903,400.6826824
